State,scaledAssault,scaledMurder,scaledRape,scaledUrban
alabama,65.410959,74.698795,35.917313,44.06780
arizona,85.273973,43.975904,61.240310,81.35593
arkansas,49.657534,48.192771,31.524548,30.50847
california,79.109589,49.397590,86.046512,100.00000
colorado,54.452055,42.771084,81.136951,77.96610
connecticut,22.260274,15.060241,9.819121,76.27119
delaware,66.095890,30.722892,21.963824,67.79661
district of columbia,0,0,0,0
florida,99.315068,87.951807,63.565891,81.35593
georgia,56.849315,100.000000,47.803618,47.45763
idaho,25.684932,10.843373,17.829457,37.28814
illinois,69.863014,57.831325,43.152455,86.44068
indiana,23.287671,38.554217,35.400517,55.93220
iowa,3.767123,8.433735,10.335917,42.37288
kansas,23.972603,31.325301,27.648579,57.62712
kentucky,21.917808,53.614458,23.255814,33.89831
louisiana,69.863014,87.951807,38.501292,57.62712
maine,13.013699,7.831325,1.291990,32.20339
maryland,87.328767,63.253012,52.971576,59.32203
massachusetts:martha's vineyard,0,0,0,0
massachusetts:main,35.616438,21.686747,23.255814,89.83051
massachusetts:nantucket,0,0,0,0
michigan:north,71.917808,68.072289,71.834625,71.18644
michigan:south,71.917808,68.072289,71.834625,71.18644
minnesota,9.246575,11.445783,19.638243,57.62712
mississippi,73.287671,92.168675,25.322997,20.33898
missouri,45.547945,49.397590,54.005168,64.40678
montana,21.917808,31.325301,23.514212,35.59322
nebraska,19.520548,21.084337,23.772610,50.84746
nevada,70.890411,68.674699,100.000000,83.05085
new hampshire,4.109589,7.831325,5.684755,40.67797
new jersey,39.041096,39.759036,29.715762,96.61017
new mexico,82.191781,63.855422,64.082687,64.40678
new york:manhattan,0,0,0,0
new york:main,71.575342,62.048193,48.578811,91.52542
new york:staten island,0,0,0,0
new york:long island,0,0,0,0
north carolina:knotts,0,0,0,0
north carolina:main,100.000000,73.493976,22.739018,22.03390
north carolina:spit,0,0,0,0
north dakota,0.000000,0.000000,0.000000,20.33898
ohio,25.684932,39.156627,36.434109,72.88136
oklahoma,36.301370,34.939759,32.816537,61.01695
oregon,39.041096,24.698795,56.847545,59.32203
pennsylvania,20.890411,33.132530,19.638243,67.79661
rhode island,44.178082,15.662651,2.583979,93.22034
south carolina,80.136986,81.927711,39.276486,27.11864
south dakota,14.041096,18.072289,14.211886,22.03390
tennessee,48.972603,74.698795,50.645995,45.76271
texas,53.424658,71.686747,47.028424,81.35593
utah,25.684932,14.457831,40.310078,81.35593
vermont,1.027397,8.433735,10.077519,0.00000
virginia:chesapeake,0,0,0,0
virginia:chincoteague,0,0,0,0
virginia:main,38.013699,46.385542,34.625323,52.54237
washington:san juan island,0,0,0,0
washington:lopez island,0,0,0,0
washington:orcas island,0,0,0,0
washington:whidbey island,0,0,0,0
washington:main,34.246575,19.277108,48.837209,69.49153
west virginia,12.328767,29.518072,5.167959,11.86441
wisconsin,2.739726,10.843373,9.043928,57.62712
wyoming,39.726027,36.144578,21.447028,47.45763
